Id,name,Age,nationality,club,league,euro_wage,networth,score_of_100
213316,Lee Kwang Sun,27,Korea Republic,Sangju Sangmu FC,Korean K League Classic,5000,1500000,70
160068,C. Sobedra,29,Chile,CD Palestino,Chilian Primera División,4000,1400000,70
225604,A. Zuev,21,Russia,FC Rostov,Russian Premier League,29000,3400000,70
212037,M. Al Bassas,24,Saudi Arabia,Al Ahli,Saudi Professional League,23000,2300000,70
213573,M. Gersbeck,22,Germany,VfL Osnabrück,German 3. Liga,1000,2000000,70
214085,N. Carreño,23,Colombia,Patriotas Boyacá FC,Colombian Primera A,2000,2000000,70
232517,N. Silva,27,Argentina,Club Atlético Huracán,Argentinian Superliga,9000,1900000,70
183365,N. Cherubin,30,Italy,Hellas Verona,Italian Serie A,17000,1300000,70
222022,L. Di Plácido,23,Argentina,Club Atlético Lanús,Argentinian Superliga,10000,2100000,70
13127,Vítor Silva,33,Portugal,CF Reus Deportiu,Spanish Segunda División,6000,1000000,70
214343,D. Moreno,25,Colombia,Independiente Medellín,Colombian Primera A,3000,1900000,70
222535,L. Orejuela,21,Colombia,Ajax,Holland Eredivisie,6000,2400000,70
192071,M. D'Alessandro,26,Italy,Benevento Calcio,Italian Serie A,19000,2100000,70
209736,Victor Andrade,21,Brazil,Estoril Praia,Portuguese Primeira Liga,7000,2900000,70
230472,Renaldo Justinho,33,Brazil,Fluminense Football Club,Campeonato Brasileiro Série A,25000,1100000,70
231240,E. Mor,19,Turkey,RC Celta de Vigo,Spanish Primera División,9000,3800000,70
192072,A. Stoian,26,Romania,Crotone,Italian Serie A,10000,1900000,70
205641,L. Nangis,23,France,Valenciennes FC,French Ligue 2,4000,2400000,70
200778,C. Christie,24,Republic of Ireland,Middlesbrough,English Championship,10000,1900000,70
203850,C. Dibon,26,Austria,SK Rapid Wien,Austrian Bundesliga,15000,1800000,70
205386,G. Hubert,23,Belgium,Club Brugge KV,Belgian First Division A,10000,1700000,70
230474,Macarinho Louro,29,Brazil,Grêmio Foot-Ball Porto Alegrense,Campeonato Brasileiro Série A,17000,1700000,70
189514,H. Afful,31,Ghana,Columbus Crew SC,USA Major League Soccer,6000,1200000,70
157515,E. Velarde,31,Mexico,Deportivo Toluca,Mexican Liga MX,32000,1200000,70
225100,J. Gomez,20,England,Liverpool,English Premier League,40000,2800000,70
226636,N. Sánchez,25,Argentina,Godoy Cruz,Argentinian Superliga,10000,2200000,70
232524,N. Romat,29,Argentina,Atlético Tucumán,Argentinian Superliga,10000,1300000,70
170828,Shikabala,31,Egypt,Al Raed,Saudi Professional League,17000,1600000,70
107084,M. Langer,32,Austria,FC Schalke 04,German Bundesliga,18000,1000000,70
215117,L. Desábato,27,Argentina,Vélez Sarsfield,Argentinian Superliga,10000,1700000,70
215373,S. Coopman,22,Belgium,SV Zulte-Waregem,Belgian First Division A,14000,2500000,70
152909,H. Bouazza,32,Algeria,Tours FC,French Ligue 2,6000,1400000,70
160077,A. Danteón,29,Chile,San Luis de Quillota,Chilian Primera División,4000,1400000,70
201038,M. Djuricin,24,Austria,Grasshopper Club Zürich,Swiss Super League,21000,2400000,70
142670,R. Braña,38,Argentina,Estudiantes de La Plata,Argentinian Superliga,8000,240000,70
229966,Nando,23,Spain,Lorca Deportiva CF,Spanish Segunda División,14000,2600000,70
190542,Pedro Sánchez,30,Spain,Granada CF,Spanish Segunda División,8000,1700000,70
202064,L. Arias,32,Colombia,Independiente Medellín,Colombian Primera A,3000,975000,70
203344,Thiago Galhardo,27,Brazil,Albirex Niigata,Japanese J1 League,5000,1900000,70
217168,J. Abella,23,Mexico,Santos Laguna,Mexican Liga MX,12000,2000000,70
230480,Raphael Paneira,29,Brazil,Associação Atlética Ponte Preta,Campeonato Brasileiro Série A,13000,1700000,70
240976,M. Saracchi,19,Uruguay,River Plate,Argentinian Superliga,7000,3400000,70
183632,R. Tesche,30,Germany,VfL Bochum,German 2. Bundesliga,21000,1600000,70
214097,B. Bourigeaud,23,France,Stade Rennais FC,French Ligue 1,14000,2500000,70
236113,Jailson Oliva,25,Brazil,Clube Atlético Mineiro,Campeonato Brasileiro Série A,20000,1500000,70
138066,L. Obraniak,32,Poland,AJ Auxerre,French Ligue 2,7000,1400000,70
204370,S. van de Streek,24,Netherlands,FC Utrecht,Holland Eredivisie,8000,2300000,70
207954,B. Behrendt,25,Germany,DSC Arminia Bielefeld,German 2. Bundesliga,6000,1900000,70
227667,I. Mbenza,21,Belgium,Montpellier Hérault SC,French Ligue 1,14000,2600000,70
188499,M. Iori,35,Italy,Cittadella,Italian Serie B,2000,750000,70
215380,G. Milan,29,Argentina,Tiburones Rojos de Veracruz,Mexican Liga MX,7000,1400000,70
217940,D. Djené,25,Togo,Getafe CF,Spanish Primera División,14000,1900000,70
197973,O. González,32,Chile,Deportivo Toluca,Mexican Liga MX,12000,1000000,70
223573,Munir,28,Morocco,CD Numancia,Spanish Segunda División,6000,1400000,70
139862,J. Marveaux,34,France,GFC Ajaccio,French Ligue 2,6000,550000,70
212054,B. Idowu,25,Russia,Amkar Perm,Russian Premier League,14000,1900000,70
183382,G. Mandjeck,28,Cameroon,Sparta Praha,Czech Liga,1000,1400000,70
211287,M. Fofana,25,Ivory Coast,Atiker Konyaspor,Turkish Süper Lig,13000,2200000,70
221271,T. Pellenard,23,France,Girondins de Bordeaux,French Ligue 1,21000,2000000,70
190807,Yazalde,28,Portugal,Rio Ave FC,Portuguese Primeira Liga,8000,1800000,70
178264,Nenê,33,Brazil,Bari,Italian Serie B,5000,1100000,70
223065,G. Toledo,27,Argentina,Colon de Santa Fe,Argentinian Superliga,14000,1500000,70
230489,Diogildo Peixe,29,Brazil,São Paulo Futebol Clube,Campeonato Brasileiro Série A,21000,1700000,70
183385,A. Guédioura,31,Algeria,Middlesbrough,English Championship,13000,1500000,70
214106,J. Lopera,30,Colombia,Independiente Medellín,Colombian Primera A,3000,1300000,70
191834,N. Al Shamrani,33,Saudi Arabia,Al Shabab,Saudi Professional League,25000,1100000,70
168283,D. Perrinelle,33,France,New York Red Bulls,USA Major League Soccer,6000,725000,70
190555,Mossa,28,Spain,Real Oviedo,Spanish Segunda División,7000,1400000,70
165724,R. Murawski,35,Poland,Pogoń Szczecin,Polish Ekstraklasa,4000,425000,70
220509,L. Venuti,22,Italy,Benevento Calcio,Italian Serie A,29000,2500000,70
236893,Rui Pedro,19,Portugal,Boavista FC,Portuguese Primeira Liga,6000,3800000,70
190557,G. Zusi,30,United States,Sporting Kansas City,USA Major League Soccer,6000,1300000,70
199262,Kim Young Wook,26,Korea Republic,Jeonnam Dragons,Korean K League Classic,6000,1900000,70
214366,R. Carrascal,24,Colombia,Deportes Tolima,Colombian Primera A,3000,2000000,70
160094,Y. Sanctissis,29,Chile,CD Antofagasta,Chilian Primera División,4000,1400000,70
236382,M. Olivera,25,Uruguay,Fiorentina,Italian Serie A,32000,2000000,70
203871,V. Viola,25,Argentina,Independiente Medellín,Colombian Primera A,4000,2200000,70
207711,Chuli,26,Spain,Getafe CF,Spanish Primera División,17000,2200000,70
225375,K. Laimer,20,Austria,RB Leipzig,German Bundesliga,28000,2800000,70
233055,D. Suzuki,27,Japan,Gimnàstic de Tarragona,Spanish Segunda División,7000,1500000,70
138336,B. Holman,33,Australia,Brisbane Roar,Australian A-League,6000,1100000,70
225632,O. Burke,20,Scotland,West Bromwich Albion,English Premier League,32000,3900000,70
229984,B. Chilwell,20,England,Leicester City,English Premier League,28000,2800000,70
183392,D. Pollet,28,Belgium,Sporting Charleroi,Belgian First Division A,13000,1800000,70
138081,M. Chrétien,32,Morocco,AS Nancy Lorraine,French Ligue 2,6000,1000000,70
230241,Enzo Chissano,25,Brazil,São Paulo Futebol Clube,Campeonato Brasileiro Série A,17000,1600000,70
233825,N. Leguizamón,22,Argentina,Colon de Santa Fe,Argentinian Superliga,9000,2800000,70
235873,B. Cabezas,20,Ecuador,Panathinaikos FC,Greek Super League,1000,2400000,70
187489,D. Meyler,28,Republic of Ireland,Hull City,English Championship,10000,1800000,70
170082,S. Gleeson,28,Republic of Ireland,Birmingham City,English Championship,20000,1400000,70
191842,H. Fallatah,31,Saudi Arabia,Al Fayha,Saudi Professional League,14000,1200000,70
194146,K. Long,26,Republic of Ireland,Burnley,English Premier League,32000,1800000,70
230243,Breno Bemposta,33,Brazil,Sport Club do Recife,Campeonato Brasileiro Série A,11000,725000,70
179811,B. Capon,29,Belgium,KV Oostende,Belgian First Division A,11000,1300000,70
193891,Borja Viguera,30,Spain,Real Sporting de Gijón,Spanish Segunda División,10000,1700000,70
224100,D. Depetris,28,Slovakia,Bahía Blanca,Argentinian Superliga,12000,1800000,70
228708,L. Martínez Quarta,21,Argentina,River Plate,Argentinian Superliga,10000,3100000,70
176996,A. Robic,31,France,AS Nancy Lorraine,French Ligue 2,7000,1600000,70
194916,António Filipe,32,Portugal,Grupo Desportivo de Chaves,Portuguese Primeira Liga,5000,1000000,70
205157,Ruíz de Galarreta,23,Spain,FC Barcelona B,Spanish Segunda División,5000,2100000,70
205669,Luís Martins,25,Portugal,CS Marítimo,Portuguese Primeira Liga,7000,1900000,70
205158,Guillermo,24,Spain,CD Numancia,Spanish Segunda División,7000,2500000,70
210534,C. Kouakou,26,Ivory Coast,SM Caen,French Ligue 1,18000,2100000,70
214118,M. Casierra,31,Colombia,San Martín de San Juan,Argentinian Superliga,8000,1200000,70
202599,I. Coronado,24,Brazil,Palermo,Italian Serie B,4000,2400000,70
223335,L. Diarte,24,Argentina,Estudiantes de La Plata,Argentinian Superliga,10000,2000000,70
229991,Fran Villalba,19,Spain,Valencia CF,Spanish Primera División,11000,2800000,70
178023,I. Konuk,29,Turkey,Bursaspor,Turkish Süper Lig,13000,1400000,70
184935,A. Bouka Moutou,28,Congo,Dijon FCO,French Ligue 1,13000,1400000,70
193895,P. Yakovlev,26,Russia,FC Anzhi Makhachkala,Russian Premier League,16000,1900000,70
204904,M. Bauer,25,Austria,Rubin Kazan,Russian Premier League,25000,1900000,70
210536,A. Ngamukol,29,Equatorial Guinea,Stade de Reims,French Ligue 2,9000,1800000,70
173160,N. Viola,27,Italy,Benevento Calcio,Italian Serie A,20000,2000000,70
205929,N. Thomsen,24,Denmark,FC København,Danish Superliga,13000,2300000,70
207465,Felipe,26,Brazil,New York Red Bulls,USA Major League Soccer,7000,2200000,70
209001,M. Fallatah,29,Saudi Arabia,Al Hilal,Saudi Professional League,29000,1800000,70
222825,C. Akolo,22,DR Congo,VfB Stuttgart,German Bundesliga,17000,3200000,70
192617,T. Perthel,28,Germany,VfL Bochum,German 2. Bundesliga,13000,1400000,70
200298,J. Rivierez,28,France,FC Metz,French Ligue 1,11000,1400000,70
204394,E. Gyasi,26,Ghana,Aalesunds FK,Norwegian Eliteserien,4000,2100000,70
205674,Fran Carbia,25,Spain,CF Reus Deportiu,Spanish Segunda División,6000,2400000,70
231786,A. Šporar,23,Slovenia,DSC Arminia Bielefeld,German 2. Bundesliga,24000,2500000,70
205163,E. Huws,23,Wales,Ipswich Town,English Championship,13000,2600000,70
209003,J. Silva,28,Paraguay,Deportes Tolima,Colombian Primera A,1000,1200000,70
215147,L. Giannetti,23,Argentina,Vélez Sarsfield,Argentinian Superliga,9000,2400000,70
219755,U. Matić,27,Serbia,FC København,Danish Superliga,15000,2000000,70
227179,J. Muñoz,28,Colombia,CD Once Caldas Manizales,Colombian Primera A,2000,1600000,70
210028,W. Bakhashwain,27,Saudi Arabia,Al Ahli,Saudi Professional League,24000,1700000,70
212332,R. Ramírez,27,Paraguay,Deportivo Pasto,Colombian Primera A,2000,2100000,70
239212,Carlos López,27,Spain,Wisła Kraków,Polish Ekstraklasa,7000,2100000,70
193900,J. Hunt,26,England,Sheffield Wednesday,English Championship,33000,1800000,70
199789,M. Yumlu,29,Turkey,Akhisar Belediyespor,Turkish Süper Lig,13000,1400000,70
213613,S. Gustafson,22,Sweden,Roda JC Kerkrade,Holland Eredivisie,10000,2400000,70
160109,C. Lederos,25,Chile,Deportes Iquique,Chilian Primera División,3000,1900000,70
240493,A. Paschalakis,27,Greece,PAOK Thessaloniki,Greek Super League,1000,1400000,70
192621,D. Nounkeu,31,Cameroon,Kardemir Karabükspor,Turkish Süper Lig,10000,1200000,70
194925,L. Moult,25,England,Motherwell,Scottish Premiership,7000,2000000,70
205934,N. Murru,22,Italy,Sampdoria,Italian Serie A,18000,2100000,70
162926,P. Gallagher,32,Scotland,Preston North End,English Championship,11000,1300000,70
230510,Vicemte Tófoli,33,Brazil,São Paulo Futebol Clube,Campeonato Brasileiro Série A,22000,1100000,70
190575,F. Zuculini,26,Argentina,Hellas Verona,Italian Serie A,19000,1900000,70
192367,I. Canuto,31,Argentina,Club Atlético Lanús,Argentinian Superliga,8000,1200000,70
210544,Willyan,23,Brazil,Vitória Setúbal,Portuguese Primeira Liga,6000,2400000,70
224368,M. Doumbia,22,Mali,FC Rostov,Russian Premier League,22000,2700000,70
231280,Iván Alejo,22,Spain,SD Eibar,Spanish Primera División,12000,2500000,70
177520,J. Schuster,32,Germany,SC Freiburg,German Bundesliga,16000,1000000,70
197233,A. Diallo,25,Senegal,Stade Rennais FC,French Ligue 1,12000,1700000,70
201841,N. Dussenne,25,Belgium,KAA Gent,Belgian First Division A,9000,1900000,70
203889,Y. Touzghar,30,Tunisia,FC Sochaux-Montbéliard,French Ligue 2,8000,1700000,70
211057,Pablo Valcarce,24,Spain,CD Numancia,Spanish Segunda División,7000,2400000,70
177521,B. Nehrig,30,Germany,FC St. Pauli,German 2. Bundesliga,13000,1300000,70
186993,J. Cortés,27,Mexico,Santos Laguna,Mexican Liga MX,16000,1800000,70
211826,R. Czichos,27,Germany,Holstein Kiel,German 2. Bundesliga,9000,1700000,70
227186,A. Batalla,21,Argentina,River Plate,Argentinian Superliga,8000,2200000,70
199283,E. Lenjani,27,Albania,FC Sion,Swiss Super League,13000,1500000,70
233075,Garrido,27,Spain,Cádiz C.F.,Spanish Segunda División,6000,1800000,70
169843,B. Turner,28,England,Burton Albion,English Championship,9000,1400000,70
239475,J. González,18,United States,Monterrey,Mexican Liga MX,20000,2600000,70
131444,R. Würtz,33,Denmark,Aalborg BK,Danish Superliga,11000,1000000,70
210548,L. Capezzi,22,Italy,Sampdoria,Italian Serie A,20000,2700000,70
189300,M. Johansson,25,Sweden,Panathinaikos FC,Greek Super League,1000,1800000,70
198261,T. Ream,29,United States,Fulham,English Championship,29000,1400000,70
200309,T. Darikwa,25,England,Nottingham Forest,English Championship,18000,1900000,70
11381,M. Gilks,35,Scotland,Scunthorpe United,English League One,5000,425000,70
225653,G. Kerk,21,Netherlands,FC Utrecht,Holland Eredivisie,8000,2500000,70
190581,U. Dávila,26,Mexico,Santos Laguna,Mexican Liga MX,16000,2100000,70
223862,Vasco Rocha,28,Portugal,FC Paços de Ferreira,Portuguese Primeira Liga,9000,1800000,70
165494,F. Niell,34,Argentina,Gimnasia y Esgrima La Plata,Argentinian Superliga,12000,925000,70
169078,L. Freeman,25,England,Queens Park Rangers,English Championship,20000,2200000,70
234870,E. Karaca,27,Turkey,Alanyaspor,Turkish Süper Lig,11000,2000000,70
189558,B. Salamon,26,Poland,Ferrara (SPAL),Italian Serie A,30000,1800000,70
208247,L. Spendlhofer,24,Austria,SK Sturm Graz,Austrian Bundesliga,12000,2000000,70
160119,C. Echagovia,29,Chile,Deportes Iquique,Chilian Primera División,3000,1700000,70
183671,E. Terranova,30,Italy,Frosinone,Italian Serie B,3000,1300000,70
230520,Sevinho Santos,29,Brazil,Grêmio Foot-Ball Porto Alegrense,Campeonato Brasileiro Série A,19000,1800000,70
208505,R. Zozulya,27,Ukraine,Albacete Balompié,Spanish Segunda División,8000,2100000,70
218745,O. Ntcham,21,France,Celtic,Scottish Premiership,27000,3100000,70
157305,R. Lindgren,32,Sweden,BK Häcken,Swedish Allsvenskan,4000,1000000,70
177273,J. Domínguez,29,Mexico,Cruz Azul,Mexican Liga MX,20000,1400000,70
178297,Canella,29,Spain,Real Sporting de Gijón,Spanish Segunda División,8000,1300000,70
209786,A. Gcaba,31,South Africa,Orlando Pirates,South African PSL,1000,1200000,70
210042,J. Wurtz,25,Germany,VfL Bochum,German 2. Bundesliga,13000,2400000,70
223610,Concha,20,Spain,FC Barcelona B,Spanish Segunda División,15000,3200000,70
188538,V. Sasso,26,France,CF Os Belenenses,Portuguese Primeira Liga,5000,1800000,70
192890,E. Trejo,27,Mexico,Querétaro,Mexican Liga MX,9000,2000000,70
201083,M. Kucharczyk,26,Poland,Legia Warszawa,Polish Ekstraklasa,8000,2100000,70
205691,R. Pucino,26,Italy,Salernitana,Italian Serie B,4000,1700000,70
207739,M. Havenaar,30,Japan,Vissel Kobe,Japanese J1 League,6000,1700000,70
214907,F. Bahlouli,22,France,LOSC Lille,French Ligue 1,23000,2500000,70
232571,S. Nakatani,21,Japan,Kashiwa Reysol,Japanese J1 League,7000,2200000,70
181371,Léo Silva,31,Brazil,Kashima Antlers,Japanese J1 League,10000,1500000,70
193147,A. Gonçalves,31,France,RC Strasbourg,French Ligue 1,17000,1500000,70
145020,Mora,37,Spain,Getafe CF,Spanish Primera División,10000,240000,70
227964,Lucas Venuto,22,Brazil,FK Austria Wien,Austrian Bundesliga,14000,2400000,70
178556,D. Holla,29,Netherlands,FC Twente,Holland Eredivisie,9000,1700000,70
213117,S. Lex,27,Germany,FC Ingolstadt 04,German 2. Bundesliga,18000,1900000,70
213885,S. Slavchev,23,Bulgaria,Lechia Gdańsk,Polish Ekstraklasa,9000,2100000,70
215165,C. Rius,28,Argentina,Defensa y Justicia,Argentinian Superliga,12000,1800000,70
220029,S. Khaoui,22,France,ES Troyes AC,French Ligue 1,17000,2400000,70
200574,Kim Won Il,30,Korea Republic,Jeju United FC,Korean K League Classic,5000,1300000,70
207998,D. Ward,24,Wales,Liverpool,English Premier League,35000,2000000,70
210814,J. Velázquez,26,Argentina,Cruz Azul,Mexican Liga MX,19000,1800000,70
162174,D. Biondini,34,Italy,Sassuolo,Italian Serie A,33000,875000,70
144511,L. Greco,30,Italy,Bari,Italian Serie B,4000,1600000,70
210303,D. Linsmayer,25,Germany,SV Sandhausen,German 2. Bundesliga,5000,1900000,70
142720,C. Araujo,35,Argentina,Club Atlético Huracán,Argentinian Superliga,7000,375000,70
211840,M. Hartmann,29,Germany,SG Dynamo Dresden,German 2. Bundesliga,11000,1400000,70
189568,A. Sissoko,27,Mali,Akhisar Belediyespor,Turkish Süper Lig,12000,1500000,70
198017,M. Pereira,29,France,Evkur Yeni Malatyaspor,Turkish Süper Lig,12000,1700000,70
209281,Y. Al Shehri,27,Saudi Arabia,Al Nassr,Saudi Professional League,26000,1900000,70
217217,D. Cerén,27,El Salvador,San Jose Earthquakes,USA Major League Soccer,6000,1500000,70
219521,M. García,28,Argentina,Club Atlético Huracán,Argentinian Superliga,8000,1200000,70
161921,P. Leciejewski,32,Poland,SK Brann,Norwegian Eliteserien,4000,1000000,70
188033,E. El Hadary,44,Egypt,Al Taawoun,Saudi Professional League,7000,120000,70
188289,E. Rivière,27,France,FC Metz,French Ligue 1,12000,2100000,70
205186,P. Gazzaniga,25,Argentina,Tottenham Hotspur,English Premier League,35000,1700000,70
205954,R. Emelyanov,25,Russia,FC Ural,Russian Premier League,20000,2100000,70
214146,E. Perlaza,28,Colombia,Atlético Huila,Colombian Primera A,2000,1400000,70
225666,D. Nagy,22,Hungary,Legia Warszawa,Polish Ekstraklasa,7000,2700000,70
188546,S. Štilić,29,Bosnia Herzegovina,Wisła Płock,Polish Ekstraklasa,6000,1700000,70
135043,A. Lindegaard,33,Denmark,Burnley,English Premier League,26000,900000,70
223107,M. Yıldırım,26,Turkey,Kayserispor,Turkish Süper Lig,8000,1500000,70
230531,Saberto Botelho,29,Brazil,Fluminense Football Club,Campeonato Brasileiro Série A,24000,1400000,70
223876,Hugo Seco,29,Portugal,CD Feirense,Portuguese Primeira Liga,8000,1700000,70
226436,H. ter Avest,20,Netherlands,FC Twente,Holland Eredivisie,6000,2200000,70
229764,Córdoba,20,Spain,Athletic Club de Bilbao,Spanish Primera División,14000,2500000,70
205701,S. Delev,27,Bulgaria,Pogoń Szczecin,Polish Ekstraklasa,6000,1900000,70
220805,A. Castro,23,Colombia,Asociacion Deportivo Cali,Colombian Primera A,2000,2300000,70
222597,E. Ohemeng,21,Ghana,Moreirense FC,Portuguese Primeira Liga,5000,2800000,70
214918,M. Mier,26,Uruguay,CPD Junior Barranquilla,Colombian Primera A,4000,1900000,70
160134,G. La Parra,29,Chile,Everton de Viña del Mar,Chilian Primera División,4000,1700000,70
236679,Melendo,19,Spain,RCD Espanyol,Spanish Primera División,11000,3000000,70
191111,E. Salomonsson,28,Sweden,IFK Göteborg,Swedish Allsvenskan,5000,1400000,70
198024,Y. de Lanlay,25,Norway,Rosenborg BK,Norwegian Eliteserien,7000,2200000,70
233096,D. Dumfries,21,Netherlands,SC Heerenveen,Holland Eredivisie,6000,2200000,70
184456,E. Lichaj,28,United States,Nottingham Forest,English Championship,20000,1400000,70
187528,K. Kombarov,30,Russia,Arsenal Tula,Russian Premier League,18000,1300000,70
199305,M. Wittek,28,Germany,1. FC Heidenheim,German 2. Bundesliga,13000,1600000,70
207753,Oh Ban Suk,29,Korea Republic,Jeju United FC,Korean K League Classic,5000,1400000,70
209289,K. Rodrigues,23,Portugal,Real Sociedad,Spanish Primera División,15000,2200000,70
223881,J. Chiarini,35,Argentina,Club Atlético Tigre,Argentinian Superliga,5000,425000,70
232329,K. Kanatsızkuş,20,Turkey,Bursaspor,Turkish Süper Lig,12000,3900000,70
189065,F. Renzetti,29,Italy,Cremonese,Italian Serie B,20000,1300000,70
199562,Ilie Sánchez,26,Spain,Sporting Kansas City,USA Major League Soccer,7000,2200000,70
144010,Y. Kurtuluş,31,Turkey,Antalyaspor,Turkish Süper Lig,13000,1500000,70
230794,Nacho Gil,21,Spain,Valencia CF,Spanish Primera División,16000,2600000,70
233866,O. Edouard,19,France,Celtic,Scottish Premiership,29000,2800000,70
234122,Artur,21,Brazil,Columbus Crew SC,USA Major League Soccer,5000,2200000,70
192906,L. Rodríguez,32,Argentina,Atlético Tucumán,Argentinian Superliga,9000,1400000,70
205963,D. Texeira,26,Uruguay,Vitória Guimarães,Portuguese Primeira Liga,9000,2200000,70
155532,C. Ikeme,31,Nigeria,Wolverhampton Wanderers,English Championship,25000,1100000,70
169100,I. Anya,29,Scotland,Derby County,English Championship,41000,1700000,70
236172,Nilson Padilho,29,Brazil,Sport Club do Recife,Campeonato Brasileiro Série A,13000,1700000,70
174732,G. Gómez,33,Panama,Atlético Bucaramanga,Colombian Primera A,2000,725000,70
233101,R. Kortsmit,24,Netherlands,Sparta Rotterdam,Holland Eredivisie,6000,1700000,70
193421,Javi Lara,31,Spain,Córdoba CF,Spanish Segunda División,9000,1600000,70
199566,M. Nelom,26,Netherlands,Feyenoord,Holland Eredivisie,10000,1800000,70
225934,C. Yambéré,26,Central African Rep.,Dijon FCO,French Ligue 1,13000,1900000,70
240526,M. Fouzair,25,Morocco,Al Nassr,Saudi Professional League,25000,2200000,70
176270,Y. Movsisyan,29,Armenia,Real Salt Lake,USA Major League Soccer,7000,1800000,70
201359,M. Abu,25,Ghana,Columbus Crew SC,USA Major League Soccer,6000,2000000,70
208015,S. Badji,27,Senegal,Kayserispor,Turkish Süper Lig,15000,1700000,70
224143,Querol,28,Spain,CF Reus Deportiu,Spanish Segunda División,7000,1800000,70
186511,René,33,Spain,UD Almería,Spanish Segunda División,6000,900000,70
213136,S. Willems,26,France,Sporting Charleroi,Belgian First Division A,10000,1800000,70
165520,O. Scarione,31,Argentina,Göztepe,Turkish Süper Lig,13000,1600000,70
232080,J. Harrison,20,England,New York City Football Club,USA Major League Soccer,6000,3900000,70
116368,Y. Hadji,37,Morocco,AS Nancy Lorraine,French Ligue 2,5000,625000,70
199313,A. Bamba,27,Ivory Coast,Angers SCO,French Ligue 1,15000,1500000,70
213905,S. Gallagher,21,England,Birmingham City,English Championship,41000,3100000,70
183955,T. Chevalier,30,France,KV Kortrijk,Belgian First Division A,12000,1700000,70
191123,D. Alar,27,Austria,SK Sturm Graz,Austrian Bundesliga,17000,1900000,70
193427,F. Bérenguer,28,France,FC Sochaux-Montbéliard,French Ligue 2,8000,1800000,70
199060,G. Tzavellas,29,Greece,Alanyaspor,Turkish Süper Lig,11000,1400000,70
201876,O. Omoijuanfo,23,Norway,Stabæk Fotball,Norwegian Eliteserien,4000,2500000,70
140180,M. Ogasawara,38,Japan,Kashima Antlers,Japanese J1 League,6000,240000,70
220052,I. Bubnjić,24,Croatia,Udinese,Italian Serie A,15000,2000000,70
140181,H. Sogahata,37,Japan,Kashima Antlers,Japanese J1 League,5000,120000,70
205973,V. Sané,27,Senegal,AJ Auxerre,French Ligue 2,12000,1700000,70
144021,C. Schwegler,33,Switzerland,FC Luzern,Swiss Super League,8000,675000,70
216981,G. Kastaneer,21,Netherlands,1. FC Kaiserslautern,German 2. Bundesliga,9000,2700000,70
224917,T. Rakhale,27,South Africa,Orlando Pirates,South African PSL,1000,1900000,70
179605,A. Taarabt,28,Morocco,Genoa,Italian Serie A,9000,1800000,70
160150,A. Sendillas,33,Chile,Santiago Wanderers,Chilian Primera División,5000,1100000,70
162198,G. Gimbert,31,France,AC Ajaccio,French Ligue 2,6000,1600000,70
227990,Señé,25,Spain,C.D. Leonesa S.A.D.,Spanish Segunda División,7000,2200000,70
237207,S. Kalu,19,Nigeria,KAA Gent,Belgian First Division A,9000,3100000,70
199832,S. Neumann,26,Germany,Würzburger FV,German 3. Liga,1000,1800000,70
209304,J. Iloki,25,France,FC Nantes,French Ligue 1,16000,2200000,70
212120,M. Heylen,23,Belgium,SV Zulte-Waregem,Belgian First Division A,9000,2000000,70
194200,Trujillo,29,Spain,UD Almería,Spanish Segunda División,7000,1400000,70
197785,D. Fabbrini,26,Italy,Real Oviedo,Spanish Segunda División,21000,2100000,70
200601,Yoon Bit Garam,27,Korea Republic,Jeju United FC,Korean K League Classic,5000,1500000,70
205465,M. Pušić,29,Austria,FC København,Danish Superliga,17000,1800000,70
207769,P. Caballero,31,Argentina,UD Almería,Spanish Segunda División,8000,1600000,70
51353,K. Miller,37,Scotland,Rangers,Scottish Premiership,29000,625000,70
188313,Diogo Viana,27,Portugal,CF Os Belenenses,Portuguese Primeira Liga,6000,1900000,70
190361,Toño Ramirez,30,Spain,Real Sociedad,Spanish Primera División,14000,1100000,70
200346,M. Żyro,24,Poland,Wolverhampton Wanderers,English Championship,29000,2300000,70
236186,Ever Corredeira,33,Brazil,Coritiba Foot Ball Club,Campeonato Brasileiro Série A,18000,1100000,70
148635,D. De fauw,35,Belgium,SV Zulte-Waregem,Belgian First Division A,8000,375000,70
149147,G. Stendardo,36,Italy,Pescara,Italian Serie B,3000,240000,70
219803,D. Cavaré,22,France,Barnsley,English Championship,7000,2100000,70
236699,S. Lukić,20,Serbia,Levante UD,Spanish Primera División,19000,2400000,70
199580,C. Goldson,24,England,Brighton & Hove Albion,English Premier League,25000,2100000,70
205212,David Ferreiro,29,Spain,SD Huesca,Spanish Segunda División,7000,1700000,70
184220,M. Diskerud,26,United States,IFK Göteborg,Swedish Allsvenskan,6000,2100000,70
204701,S. Khelifi,23,Switzerland,Eintracht Braunschweig,German 2. Bundesliga,15000,2400000,70
206493,Y. Abdelhamid,29,Morocco,Stade de Reims,French Ligue 2,7000,1400000,70
212381,R. Insigne,23,Italy,Parma,Italian Serie B,32000,2400000,70
215965,C. Strandberg,21,Sweden,Malmö FF,Swedish Allsvenskan,5000,2600000,70
160157,A. Venteros,29,Chile,CD Antofagasta,Chilian Primera División,4000,1800000,70
229533,Tiago Mesquita,26,Portugal,Boavista FC,Portuguese Primeira Liga,6000,1800000,70
